from,to
ab,al
ab,Aussen
ab,green
ab,kk
ab,tl
ak,Social
ak,spd
al,Aussen
al,green
as,ed
as,Familie
as,green
as,sle
bh,green
bh,Umwelt
bk,spd
bk,Zusammenarbeit
bs,fdp
bs,Justiz
bsw,Bildung
bsw,fdp
bsw,jb
bsw,ts
ck,green
ck,TheLand
cki,Wohnen
cla,sm
cla,spd
cla,th
cla,Verteidigung
cli,fdp
cli,Finanzen
cli,ft
cli,kh
co,green
co,Landwirtschaft
co,mr
co,on
co,TheLand
cr,green
cr,Kanzler
cs,Kanzler
cs,spd
dk,fdp
dk,Verkehr
ed,Familie
ed,green
ef,Gesundheit
ef,spd
fb,green
fb,Wirtschaft
ft,fdp
ft,Finanzen
ft,TheLand
hh,ak
hh,kg
hh,Social
hh,spd
jb,Bildung
jb,fdp
jb,TheLand
js,Inneres
js,spd
kg,cki 
kg,sb
kg,Social
kg,spd
kg,spd
kg,Wohnen
kh,fdp
kh,Finanzen
kk,Aussen
kk,green
kl,ef
kl,Gesundheit
kl,sd
kl,spd
mb,fdp
mb,Justiz
mk,green
mk,TheLand
mk,Wirtschaft
mo,Inneres
mo,spd
mr,green
mr,Landwirtschaft
mt,fdp
mt,TheLand
mt,Verkehr
na,spd
na,Zusammenarbeit
nf,Inneres
nf,js
nf,mo
nf,rss
nf,spd
ok,green
ok,Wirtschaft
ol,fdp
ol,Verkehr
on,green
on,Landwirtschaft
os,cr
os,cs
os,Kanzler
os,rar
os,spd
os,sr
rar,Kanzler
rar,spd
rh,fb
rh,green
rh,mk
rh,ok
rh,os
rh,Wirtschaft
rss,Inneres
rss,spd
rss,TheLand
sb,spd
sb,Wohnen
sd,Gesundheit
sd,spd
sle,green
slem,bh
slem,ck
slem,green
slem,Umwelt
sm,Verteidigung
sr,Kanzler
sr,spd
ss,bk
ss,na
ss,spd
ss,Zusammenarbeit
th,Verteidigung
tl,Aussen
tl,green
tl,TheLand
ts,Bildung
ts,fdp
vw,dk
vw,fdp
vw,mt
vw,ol
vw,Verkehr
ws,Kanzler
ws,spd
cki,spd
kg,cki 
cki,Umwelt