id,name,type,sex,birth,party,function,ministry,migration,BW,
ab,Baerbock,1,2,1980,green,minister,state,no,,
al,Lührmann,1,2,1983,green,sts,state,no,,
as,Spiegel,1,2,1980,green,minister,family,no,,
Aussen,Auswärtiges,2,,,,,,,,
bh,Hoffmann,1,2,1960,green,sts,environment,no,,
Bildung,Bildung,2,,,,,,,,
bk,Kofler,1,2,1967,green,sts,development,no,,
bs,Strasser,1,1,1987,yellow,sts,justice,no,yes,Ravensburg
bsw,Stark-Watzinger,1,2,1968,yellow,minister,education,no,,
ck,Kühn,1,2,1979,green,sts,environment,no,yes,Tübingen
cki,Kiziltepe,1,2,1975,red,sts,construction,no,,
cli,Lindner,1,1,1979,yellow,minister,finance,no,,
cla,Lambrecht,1,2,1965,red,minister,defense,no,,
co,Oezdemir_C,1,1,1965,green,minister,agriculture,yes,yes,Stuttgart
cr,Roth,1,2,1955,green,sts,kanzler,no,,
cs,Schneider,1,1,1976,red,sts,kanzler,no,,
dk,Kluckert,1,2,1980,yellow,sts,transportation,no,,
ed,Deligoez,1,2,1971,green,sts,family,yes,,
ef,Franke,1,1,1960,red,sts,health,no,,
Familie,Familie,2,,,,,,,,
fb,Brantner,1,2,1976,green,sts,economy,no,yes,Heidelberg
fdp,FDP,2,,,,,,,,
Finanzen,Finanzen,2,,,,,,,,
ft,Toncar,1,1,1979,yellow,sts,finance,no,yes,Sindelfingen
Gesundheit,Gesundheit,2,,,,,,,,
green,Grüne,2,,,,,,,,
hh,Heil,1,1,1972,red,minister,employment,no,,
Inneres,Inneres,2,,,,,,,,
jb,Brandenburg,1,2,1986,yellow,sts,education,no,yes,Rhein-Neckar
js,Saathoff,1,1,1967,red,sts,interior,no,,
Justiz,Justiz,2,,,,,,,,
Kanzler,Kanzler,2,,,,,,,,
kg,Griese,1,2,1966,red,sts,employment,no,,
kg,Geywitz,1,2,1976,red,minister,construction,no,,
kh,Hessel,1,2,1972,yellow,sts,finance,no,,
kk,Keul,1,2,1969,green,sts,state,no,,
kl,Lauterbach,1,1,1963,red,minister,health,no,,
Landwirtschaft,Landwirtschaft,2,,,,,,,,
mb,Buschmann,1,1,1977,yellow,minister,justice,no,,
mk,Keller,1,1,1977,green,sts,economy,no,,
mo,Oezdemir_M,1,1,1987,red,sts,interior,yes,,
mr,Rottmann,1,2,1972,green,sts,agriculture,no,,
mt,Theurer,1,1,1967,yellow,sts,transportation,no,yes,Tübingen
na,Annen,1,1,1973,green,sts,development,no,,
nf,Fraser,1,2,1970,red,minister,interior,no,,
ok,Krischer,1,1,1969,green,sts,economy,no,,
ol,Luksic,1,1,1979,yellow,sts,transportation,no,,
on,Nick,1,2,1983,green,sts,agriculture,no,,
os,Scholz,1,1,1958,red,kanzler,kanzler,no,,
rar,Alabali-Radovan,1,2,1990,red,sts,kanzler,yes,,
rh,Habeck,1,1,1969,green,minister,economy,no,,
rss,Schwarzelühr-Sutter,1,2,1962,red,sts,interior,no,yes,Waldshut
sb,Bartol,1,1,1974,red,sts,construction,no,,
sd,Ditter,1,2,1964,red,sts,health,no,,
sle,Lehmann,1,1,1979,green,sts,family,no,,
slem,Lemke,1,2,1968,green,minister,environment,no,,
sm,Möller,1,2,1983,red,sts,defense,no,,
Social,Arbeit und Soziales,2,,,,,,,,
spd,SPD,2,,,,,,,,
sr,Ryglewski,1,2,1983,red,sts,kanzler,np,,
ss,Schulze,1,2,1968,green,minister,development,no,,
th,Hitschler,1,1,1982,red,sts,defense,no,,
TheLand,Baden-Württemberg2,2,,,,,,,,
tl,Lindner_T,1,2,1982,green,sts,state,no,yes,Kalsruhe
ts,Sattelberger,1,2,1949,yellow,sts,education,no,,
Umwelt,Umwelt,2,,,,,,,,
Verteidigung,Verteidigung,2,,,,,,,,
vw,Wissing,1,1,1970,yellow,minister,transportation,no,,
Wirtschaft,Wirtschaft,2,,,,,,,,
Wohnen,Wohnen,2,,,,,,,,
ws,Schmidt,1,1,1970,red,sts,kanzler,no,,
Zusammenarbeit,Zusammenarbeit,2,,,,,,,,